creator_id,creator_name,category,tier,followers,base_views,base_gmv,join_date
CR0037,Thomas Bridges,Food,Nano,6947,3019,315.5070793042529,2025-09-29
CR0038,Grace Mcpherson,Beauty,Nano,2290,1201,758.716835360165,2025-02-10
CR0039,Lori Hardy,Electronics,Mid,498774,189645,40633.377172279506,2025-07-03
CR0040,Joshua Booth,Electronics,Micro,96474,36148,9521.638117344917,2024-10-27
CR0041,Matthew Castillo,Gaming,Nano,5342,4822,885.1897369767316,2025-05-28
CR0042,Ashley Washington,Food,Micro,37760,40343,7797.3867697222495,2025-02-04
CR0043,Ronnie Reid,Sports,Nano,6107,3768,995.6344209948052,2025-05-23
CR0044,Susan Reyes,Food,Macro,729690,471358,117722.92120866946,2025-02-14
CR0045,Kimberly Mathews,Food,Nano,4681,1024,404.2770059327098,2025-07-09
CR0046,Christopher Jones,Fashion,Mid,408512,107728,10287.633559403741,2025-03-29
CR0047,Kevin Cannon,Sports,Nano,4750,1052,914.8780117055152,2024-08-29
CR0048,Jessica Glenn,Books,Micro,19287,38695,3142.041709320957,2026-05-13
CR0049,Heather Shepherd,Books,Micro,38080,40339,2190.806638525225,2025-12-01
CR0050,James Gonzales,Food,Nano,4981,4374,826.7472979899791,2025-12-18
CR0051,Deborah Martinez,Sports,Mega,1395631,703278,727186.1996117304,2024-10-24
CR0052,Regina Campbell,Fashion,Mid,322077,157767,28680.986721466998,2024-10-17
CR0053,Andrew Campbell DDS,Sports,Macro,853036,251599,59091.90111155205,2025-03-20
CR0054,Richard Sheppard,Food,Macro,919741,257288,87298.45008804285,2024-12-08
CR0055,Emily Colon,Electronics,Micro,80292,34400,2261.6406738529704,2026-04-22
CR0056,Craig Shea,Beauty,Macro,646037,442550,87470.96718231507,2026-01-20
CR0057,Timothy Decker,Fashion,Nano,8260,1302,145.5294965723931,2025-11-25
CR0058,Tyler Brooks,Books,Nano,2528,2436,249.67999954352263,2025-06-06
CR0059,Adam Payne,Fashion,Nano,8886,2251,878.185354627194,2024-09-11
CR0060,Craig Lewis,Gaming,Nano,3697,3604,101.93984051628378,2025-08-04
CR0061,Roger Rodriguez,Books,Micro,44760,34819,3567.2430605222826,2024-08-26
CR0062,Jessica Rasmussen,Fashion,Nano,3536,2055,367.03704294510777,2024-12-09
CR0063,John Miller,Sports,Mid,403657,192133,12438.302859060634,2025-09-08
CR0064,Mark Sharp,Electronics,Micro,17492,8286,6257.598350130741,2024-06-29
CR0065,Stephen Dixon,Electronics,Nano,1931,4660,172.1003187165282,2026-03-26
CR0066,Oscar Ryan,Food,Micro,18981,43996,1611.647770381815,2024-08-10
CR0067,Amy Bowman,Food,Nano,7615,1482,947.4365145061804,2024-11-13
CR0068,Lauren Gonzalez,Gaming,Mid,403520,60418,34775.26041328412,2025-06-21
CR0069,Jessica Lawrence,Food,Nano,9565,3091,941.2356319627845,2024-12-12
CR0070,Lori Smith,Gaming,Mega,3809034,1158891,390948.7620926768,2025-08-10
CR0071,Kelly Rodriguez,Beauty,Mid,168617,128642,28288.98290281808,2025-06-19
CR0072,Janet Leach,Beauty,Nano,1152,4254,659.0433299437835,2024-10-23
CR0073,Kaitlin Santana,Home,Nano,2200,4904,291.83888104033633,2024-06-28
CR0074,Stephanie Golden,Food,Mid,169445,141490,45234.566947457584,2024-11-14
CR0075,Shannon Hall,Home,Mid,293738,124707,16309.873294289278,2025-04-18
CR0076,Scott Rodriguez,Home,Mid,420695,188658,10312.924286086318,2026-04-28
CR0077,Kyle Jackson,Electronics,Mid,447806,77154,47557.20015708415,2024-06-19
CR0078,Mark Lopez,Electronics,Nano,5333,1445,900.7414363051382,2025-11-09
CR0079,Adam Williamson,Sports,Micro,45697,23465,6443.468443272015,2026-01-29
CR0080,Kimberly Patton,Home,Nano,4335,2662,554.8681522881884,2026-04-06
CR0081,Steven Ramirez,Gaming,Macro,974657,226633,63844.77015691002,2024-09-21
CR0082,Joseph Shah,Electronics,Micro,46265,7889,1031.9112017900406,2025-02-28
CR0083,Heidi Stanley,Gaming,Nano,5291,1823,767.1078175131378,2024-08-05
CR0084,Christopher Williams,Electronics,Nano,1158,1416,167.71947406639032,2025-04-29
CR0085,Lauren James,Electronics,Nano,9938,795,851.1355178974151,2026-01-21
CR0086,Victor Hunt,Sports,Nano,8041,1544,137.64597235197206,2024-11-16
CR0087,Cynthia Hartman,Food,Mid,120916,143797,18403.06153359016,2024-09-14
CR0088,Katherine Thompson,Gaming,Micro,97416,11736,4183.107711531566,2025-03-24
CR0089,Sarah Barnett,Food,Macro,825405,281030,188864.5733854335,2026-04-12
CR0090,Steven Frazier,Fashion,Micro,31299,16603,8932.74584196992,2026-02-08
CR0091,Matthew Sims MD,Gaming,Nano,3938,3221,804.1478465328685,2026-04-15
CR0092,Natalie Rubio,Beauty,Mid,451224,115055,20672.228383778882,2025-09-20
CR0093,Natalie Green,Food,Mid,300562,60151,44343.730053511266,2025-04-06
CR0094,Elizabeth Lee,Food,Micro,36158,35166,4146.925820013268,2024-12-16
CR0095,Christina Riddle,Gaming,Mid,216876,56203,36401.32730994516,2025-01-21
CR0096,David Fuller,Home,Micro,53025,23258,8779.176478272577,2025-06-20
CR0097,Paul Torres,Sports,Micro,56025,47040,5584.651079752337,2026-01-13
CR0098,David Ward,Home,Micro,13617,12559,8893.345704180043,2024-07-19
CR0099,Edward Ruiz,Gaming,Nano,3925,2674,134.43147761793645,2025-12-14
CR0100,Christy Jones,Beauty,Nano,6663,3069,492.75449548354715,2025-07-11
CR0101,Melissa Jackson,Gaming,Nano,7311,2057,329.25025552472374,2025-05-21
CR0102,Chase Welch,Food,Micro,10221,39073,9330.176489491745,2025-06-25
CR0103,Andres Rodriguez,Sports,Nano,6967,4033,162.97643001367916,2025-02-05
CR0104,Maria Thomas,Beauty,Micro,91678,25572,6970.487286389898,2024-12-31
CR0105,Emily Randall,Gaming,Macro,877358,357455,126068.37560529038,2025-12-29
CR0106,Jill Hopkins,Electronics,Nano,6344,3796,727.4875727749592,2024-09-12
CR0107,Elizabeth Davis,Gaming,Micro,35144,32554,6984.364907914944,2025-08-01
CR0108,Dennis Newman,Home,Mid,455109,95620,34620.59663805522,2025-12-10
CR0109,Daniel Williams,Home,Nano,7653,4988,850.3526523736517,2025-09-01
CR0110,Douglas French,Sports,Nano,5700,2221,486.8993349908511,2024-10-09
CR0111,Mr. Christian Pennington,Food,Nano,8618,4119,497.94381937432667,2026-03-10
CR0112,Chelsea Nelson,Electronics,Nano,9375,4376,814.3618591954018,2024-11-11
CR0113,Reginald Robinson,Sports,Macro,845427,244457,92567.96074895412,2024-06-01
CR0114,Anna Collins,Food,Mid,148961,111569,36911.82682228668,2025-07-03
CR0115,Christopher Young,Food,Micro,36100,14656,1219.8284895414372,2025-04-06
CR0116,Lisa Murray,Food,Macro,749108,238182,118312.42525701337,2025-05-07
CR0117,Sara Murray,Food,Mid,476620,150657,29775.08676041748,2025-02-17
CR0118,Steven Wilson,Beauty,Nano,3417,545,903.3938435902298,2025-07-11
CR0119,Nancy Garrett,Books,Macro,908116,422899,82826.1705218479,2024-06-13
CR0120,Carlos Horton,Beauty,Micro,16582,41530,3242.784516939745,2025-04-03
CR0121,Karen Pacheco,Sports,Mid,339317,84954,42056.664068890575,2025-09-19
CR0122,Angela Tucker,Gaming,Macro,998094,432035,141897.84841426444,2025-11-26
CR0123,Emily Stark,Books,Nano,9976,4152,907.487292909936,2025-06-18
CR0124,Gregory Hamilton,Home,Nano,8373,2623,776.5991078504603,2025-02-25
CR0125,Danielle Marshall,Home,Nano,9540,4469,664.0735932836031,2026-05-03
CR0126,Scott Gregory,Food,Micro,67654,10077,7421.9037634995075,2026-03-29
CR0127,Candice Jones,Beauty,Mid,242456,138040,22788.382736750493,2025-08-05
CR0128,Judith Lambert,Electronics,Macro,572547,279078,84689.22195922802,2024-09-12
CR0129,Mike Stewart,Sports,Nano,4505,1026,473.38110630839634,2025-05-17
CR0130,Pamela Stephens,Food,Micro,81121,35534,4741.968106928403,2025-09-12
CR0131,Charles Archer,Fashion,Micro,65069,30524,9143.546305061593,2025-05-12
CR0132,Clinton White,Sports,Nano,7232,4407,105.30647522559377,2024-11-18
CR0133,Tina Lopez,Gaming,Nano,5892,3694,868.1031555121941,2026-05-11
CR0134,Jonathan Travis,Food,Nano,9818,4973,819.881353847141,2025-11-15
CR0135,Denise Martinez,Books,Macro,755972,315040,90940.29676448848,2026-02-23
CR0136,Jeffrey Campbell,Gaming,Nano,1475,3685,402.51658932854417,2024-10-20
CR0137,Russell Espinoza,Fashion,Micro,31632,35630,9275.874586020784,2025-08-13
CR0138,Mark Henderson,Beauty,Mid,306580,197951,36519.990273446456,2026-05-25
CR0139,Hayley Thompson,Books,Micro,94246,33089,2221.2953850750782,2025-09-21
CR0140,Steven Rose,Sports,Mega,1762226,605454,408125.05113544373,2025-07-26
CR0141,Linda Robinson,Gaming,Mega,1887767,1453573,461476.64390504686,2024-12-17
CR0142,Jeremy Alexander,Beauty,Nano,5558,3953,327.04437860414254,2025-03-16
CR0143,Christopher Jones Jr.,Fashion,Micro,71644,6270,7741.218349745656,2026-01-10
CR0144,Gary Bowers,Fashion,Nano,6733,2336,685.1296839248874,2025-06-30
CR0145,Alexandra Costa,Fashion,Nano,1508,2525,279.4246141262796,2025-08-23
CR0146,Ian Vargas,Beauty,Nano,3496,2454,213.59887738678563,2024-11-06
CR0147,Misty Young,Home,Micro,83920,19284,5185.305850916987,2026-01-31
CR0148,Jared Dalton,Beauty,Micro,58351,15996,6453.034233042802,2026-03-27
CR0149,Amanda Lee,Fashion,Nano,3683,3048,197.28887469184593,2026-04-28
CR0150,George Marsh,Food,Nano,6111,3574,456.9889973649646,2025-10-15
CR0151,Jill Clark,Home,Macro,539844,327323,65285.19581689648,2026-01-03
CR0152,Roy Baldwin,Gaming,Nano,2983,836,412.4833887776041,2026-04-19
CR0153,Natalie Moore,Sports,Nano,7071,1064,555.3647107093701,2024-11-05
CR0154,Kenneth Hall,Beauty,Micro,11658,32528,8400.978262810524,2024-06-16
CR0155,Christopher Garner,Books,Mega,2818328,1259563,708468.0848811567,2024-06-29
CR0156,Brooke Sims,Home,Nano,3506,4067,258.52326497745344,2026-01-24
CR0157,Nicole Howard,Books,Mid,422915,191078,40985.65801486299,2025-10-02
CR0158,Paul Barnes,Food,Mid,328366,120358,22892.18331924473,2026-03-23
CR0159,Karen Sanchez,Food,Nano,2419,2784,893.4680656024948,2025-06-22
CR0160,Bernard Bridges,Gaming,Mid,493465,171820,32793.985787132886,2026-04-12
CR0161,Nicole Levy,Sports,Micro,54092,6880,5448.758532543298,2025-06-05
CR0162,Patrick Clark,Home,Micro,33834,36952,2909.0786516176513,2024-09-25
CR0163,Mrs. Stacy Anderson,Home,Micro,54608,23327,8922.879817824029,2024-08-29
CR0164,Martin Bender,Food,Micro,82848,5665,5649.6452654344075,2025-11-02
CR0165,Alexis Cook,Books,Nano,2402,2477,748.0671976937749,2024-07-08
CR0166,Drew Turner,Books,Mid,391072,112999,37624.373577860926,2024-12-12
CR0167,Casey Vargas,Food,Nano,8342,641,183.7480154992045,2024-10-29
CR0168,Sarah Moore,Sports,Nano,7625,2493,375.5854271170796,2025-08-19
CR0169,Erin Vaughn,Sports,Nano,8753,4849,409.3816547315823,2025-09-24
CR0170,Haley King,Home,Micro,56112,34736,3438.247842785767,2025-03-24
CR0171,Terri Brown,Sports,Mid,220868,81629,38851.37325304278,2024-08-03
CR0172,Todd Lee,Electronics,Nano,2958,4889,955.7898043540913,2025-09-05
CR0173,Ashley Anderson,Home,Micro,35105,19180,7647.441881580556,2024-12-21
CR0174,Jacqueline King,Food,Nano,9595,2818,982.4595674162617,2026-05-10
CR0175,Jennifer Ball,Home,Micro,48829,19908,4247.929622344478,2024-08-07
CR0176,Pamela Stewart,Fashion,Nano,1231,4875,213.92466386318347,2024-12-29
CR0177,Jennifer Herrera,Electronics,Mid,128587,195059,21685.465782111103,2025-12-13
CR0178,Adam Moss,Fashion,Micro,93606,37170,1923.288821089846,2025-01-25
CR0179,Anthony Weaver,Books,Macro,800974,349075,120409.54173957653,2025-03-02
CR0180,Sally Horn,Home,Nano,6582,2010,968.9478788244653,2026-04-23
CR0181,Karen Becker,Gaming,Nano,8827,1434,839.9040807694873,2026-01-01
CR0182,Elizabeth Lee,Fashion,Nano,9056,1106,619.3190408237363,2025-05-01
CR0183,Anna Martin,Home,Macro,579548,278222,171671.31144125713,2025-07-24
CR0184,Brandon Frost,Gaming,Macro,544659,330123,67767.73433171923,2025-09-28
CR0185,Amy Campbell,Books,Nano,4697,4780,442.3402235318944,2025-09-24
CR0186,Jonathan Santiago,Fashion,Mid,255898,162415,22215.209772774415,2024-11-21
CR0187,Cheyenne Farrell,Food,Mid,419622,76013,47903.60801301512,2024-08-12
CR0188,Chelsea Olson,Beauty,Micro,91987,18829,3381.8151276100666,2024-12-03
CR0189,George Klein,Beauty,Micro,30585,20719,2564.3219349379106,2025-04-18
CR0190,Cathy Castro,Books,Nano,3564,521,467.665815394024,2026-01-19
CR0191,Heather Moore,Home,Nano,5771,767,308.32861110042325,2025-02-23
CR0192,Veronica Weiss,Food,Macro,868567,438043,60676.964023021894,2026-05-13
CR0193,Christopher Johns,Food,Macro,984395,338702,168174.2039970097,2024-11-09
CR0194,Anthony Rodriguez,Electronics,Micro,65723,12521,5901.061408395208,2026-04-15
CR0195,Scott Hoffman,Electronics,Nano,5352,1665,164.26885317023272,2024-11-23
CR0196,Calvin Hicks,Books,Nano,6039,2864,495.23810380636365,2025-10-15
CR0197,Adam Powell,Home,Mid,461065,129715,37989.34739902869,2024-06-21
CR0198,Brittany Harris,Beauty,Macro,762391,483105,124069.28290176265,2025-08-17
CR0199,Anna Bauer,Sports,Macro,813543,220898,183413.43339386804,2025-10-04
CR0200,Joshua Cantu,Food,Mid,416519,115632,11034.595695533419,2026-03-16
CR0201,Jacob Simpson,Fashion,Micro,98381,42696,6284.1063853880505,2025-06-25
CR0202,Brian Mendoza,Electronics,Nano,5415,829,786.798103754535,2025-06-10
CR0203,Jeffery Barber,Home,Nano,8708,4751,686.3585404903178,2025-07-05
CR0204,David Arroyo,Books,Macro,595152,428529,145217.70791811304,2025-05-13
CR0205,Dr. Nathan Wolf Jr.,Sports,Micro,21959,35802,4131.649506651855,2024-08-17
CR0206,Timothy Miller,Sports,Nano,6260,1356,871.9597849603174,2026-04-01
CR0207,Brandon Thompson,Gaming,Nano,7744,4558,359.3960158253102,2025-10-03
CR0208,Christopher Mcguire,Beauty,Mid,498720,194204,11467.885212548348,2025-01-17
CR0209,Janet Williamson,Gaming,Nano,6153,2567,390.9464076483952,2024-11-04
CR0210,Taylor David,Books,Nano,9431,509,691.894347834816,2024-06-17
CR0211,Beverly Walker,Sports,Micro,64165,8552,2688.2428725507443,2025-05-09
CR0212,Andrew Harris,Fashion,Mid,426439,180676,35016.349685800364,2025-08-16
CR0213,Michael Cross,Home,Mid,206723,120007,31968.78556341327,2026-05-19
CR0214,Ronald Gonzalez,Food,Nano,8178,4470,209.28347502635785,2025-08-03
CR0215,Mary Anderson,Fashion,Mid,472130,91517,22430.005535733406,2024-10-02
CR0216,William Pierce,Beauty,Nano,7684,1263,302.2305935102062,2025-10-26
CR0217,Lindsey Ford,Electronics,Nano,8560,1462,682.9387199053828,2026-02-15
CR0218,Juan Leonard,Home,Mid,361292,126509,30354.88060278047,2024-06-29
CR0219,Laurie Wallace,Food,Micro,64459,36621,9822.20169343038,2024-10-17
CR0220,Harold Collins,Food,Mid,339487,194510,15785.67873942435,2025-02-06
CR0221,Angela Wilson,Electronics,Mid,414246,183232,39851.70181969591,2025-03-21
CR0222,Amanda Hood,Gaming,Micro,19150,23104,7954.076194093045,2026-05-13
CR0223,Sandra Brown,Fashion,Nano,6568,4659,340.4553967602143,2024-09-06
CR0224,Terry Garcia,Books,Micro,47072,24566,8537.283303457792,2024-05-30
CR0225,Terry Morales,Sports,Nano,3434,4158,584.7225199334863,2026-02-11
CR0226,Kimberly Hubbard,Sports,Nano,6446,4951,439.4890487924974,2026-02-06
CR0227,Jeremy Harris,Food,Mega,4647373,895632,984619.7050660754,2025-02-23
CR0228,Alan Bentley,Gaming,Micro,84946,30098,3102.0620145210382,2024-08-30
CR0229,Patricia Murray,Gaming,Macro,522883,366816,161705.7727347794,2024-07-13
CR0230,Dustin Flores,Electronics,Micro,60604,48495,8131.542946299373,2025-04-28
CR0231,Marilyn Macdonald,Sports,Mid,359694,59704,15049.850792375548,2026-02-07
CR0232,Amber Wall,Books,Micro,23154,33855,1897.4052796778055,2024-12-26
CR0233,Susan Harrington,Electronics,Micro,12011,14447,4689.80757771728,2025-10-08
CR0234,Steven Stafford,Home,Micro,19807,35768,8033.727621457224,2024-06-21
CR0235,Kyle Wyatt,Sports,Nano,6546,3756,684.8529873213454,2024-07-22
CR0236,Edward Burton,Sports,Mid,453557,189885,25200.3759009062,2025-07-18
CR0237,Caroline Gay,Beauty,Nano,8994,4932,132.30918985391793,2024-10-24
CR0238,Linda Li,Beauty,Nano,4846,2854,997.6833306605938,2024-10-29
CR0239,Angela Fisher,Beauty,Micro,66881,11451,7843.327236948388,2025-10-18
CR0240,Jamie Gomez,Fashion,Nano,8269,1862,724.6010465139111,2026-02-28
CR0241,Courtney Brown,Home,Macro,524112,370065,169421.51977433177,2024-06-16
CR0242,Elizabeth Velazquez,Food,Mega,2503504,1286098,544549.43028432,2025-02-06
CR0243,Christopher Baker,Electronics,Macro,778484,416033,134889.20928739052,2025-11-06
CR0244,Melissa Walker,Gaming,Micro,32280,16473,1710.7151559399517,2026-05-02
CR0245,Jennifer Woods,Electronics,Nano,4945,4576,921.5461144211994,2026-04-26
CR0246,Jose Guerra,Books,Macro,621733,441775,145685.6946505353,2024-07-29
CR0247,Megan Mcclure,Books,Micro,43466,48702,1084.5768830938393,2026-02-06
CR0248,Kenneth Welch,Electronics,Mega,4779946,1103207,742088.7085592636,2026-02-12
CR0249,Matthew Wiley,Home,Mega,1309799,1426374,956188.5079477169,2026-02-19
CR0250,Michael Johnson,Books,Macro,834987,422460,153547.02686901938,2024-11-07
CR0251,Dr. Larry Smith,Books,Nano,5949,2131,999.4362089501612,2024-11-30
CR0252,Sharon Mcdonald,Sports,Micro,23979,20545,4432.278678918661,2026-01-02
CR0253,Teresa Diaz,Home,Macro,801366,355122,198903.80654403463,2025-06-30
CR0254,Tom Kelley,Fashion,Nano,1359,3742,347.03234216040494,2025-08-30
CR0255,Samuel Black,Food,Nano,9138,2844,798.1668816430428,2024-09-01
CR0256,Charles Bailey,Food,Micro,89569,28089,2971.040850352949,2024-07-22
CR0257,Steve Morales,Electronics,Macro,825525,331400,151664.6687935039,2024-07-30
CR0258,Samantha Brooks,Fashion,Mid,429382,75470,46136.14816291872,2026-04-04
CR0259,Stephanie Shaw,Sports,Micro,50492,33889,1300.2807812106919,2024-07-05
CR0260,Vernon Cummings,Sports,Nano,3153,1238,918.6650310873941,2025-09-13
CR0261,Luke Price,Sports,Micro,64460,16510,2807.153151850686,2024-11-04
CR0262,Lisa Sosa,Electronics,Mega,3226556,1552339,930789.5795853576,2026-05-22
CR0263,Samantha Johnson,Home,Nano,5210,4447,970.645668550131,2025-09-13
CR0264,Lauren Webb,Beauty,Micro,54396,12547,5214.982499674258,2026-04-29
CR0265,Taylor Burns,Gaming,Macro,573797,318287,179021.08953482326,2024-12-04
CR0266,Matthew Miller,Gaming,Mid,392192,145885,13612.115022743332,2026-03-21
CR0267,Jeremy Howard,Books,Mid,107297,119326,31462.892330762363,2024-08-01
CR0268,Jacob Mendez,Sports,Mid,293245,118724,33382.40366608664,2025-09-26
CR0269,Andrew Rodriguez,Fashion,Micro,24201,49226,3104.3971199042485,2025-01-01
CR0270,Barbara Patel,Books,Nano,6374,2313,682.8871425754974,2025-07-27
CR0271,Vanessa Fitzpatrick,Beauty,Mid,467566,129217,35969.57785138364,2025-12-30
CR0272,Christine Torres,Home,Mid,173283,61887,47850.46131527785,2026-01-23
CR0273,Bradley Moody,Electronics,Macro,758277,260880,64578.79979327324,2025-01-28
CR0274,Vicki Vaughn,Gaming,Macro,703762,437839,105651.7273230324,2025-02-26
CR0275,Andrea Carlson,Beauty,Micro,86983,15126,8968.724055096214,2025-05-23
CR0276,Alan Garcia,Home,Micro,74139,45347,4673.042971279305,2025-12-24
CR0277,Kevin Kennedy,Books,Mid,117152,147132,18690.787387902463,2026-04-17
CR0278,Michael Phelps,Sports,Micro,40947,28768,1894.191621455173,2026-02-27
CR0279,Lisa Watts,Home,Mid,385456,144024,12422.00356666435,2025-03-14
CR0280,Kimberly Taylor,Books,Mid,199514,82023,47960.431530485504,2026-02-08
CR0281,Fernando Ewing,Fashion,Macro,548063,311204,146255.67008498264,2025-09-03
CR0282,James Jones,Electronics,Nano,1828,3232,319.21200744762126,2025-06-01
CR0283,Rodney Wade,Food,Micro,84000,18448,1617.491375419203,2024-06-08
CR0284,Terry Hughes,Electronics,Nano,4538,2408,395.70359808900736,2025-02-27
CR0285,Tara Aguilar,Electronics,Micro,88116,5185,3495.473613781147,2025-12-21
CR0286,Amber Hartman,Electronics,Nano,3129,4925,325.5887770553114,2025-07-28
CR0287,Margaret Leblanc,Electronics,Micro,24408,48323,8798.030996561209,2025-07-13
CR0288,Frank Ellis,Food,Micro,11947,28477,8109.8619781127845,2025-01-09
CR0289,Lauren Smith,Fashion,Nano,6304,629,256.8215812655595,2025-08-30
CR0290,Mary Hunt,Beauty,Micro,26614,32588,5734.769739380804,2025-06-02
CR0291,Karen Jones,Beauty,Nano,8802,4172,800.2153353827824,2024-11-24
CR0292,Margaret Floyd,Fashion,Nano,8405,4627,299.3947807764565,2025-12-23
CR0293,Sierra Brown,Fashion,Mid,481284,186695,22065.21316112355,2025-09-04
CR0294,Janet Martinez,Gaming,Micro,17972,36390,8625.686888505184,2025-05-02
CR0295,Kristen Bryant,Books,Nano,2768,4516,741.1611834073867,2025-09-20
CR0296,Yvette Taylor,Electronics,Micro,19632,10294,3899.006377716935,2026-01-13
CR0297,Stephanie Franklin,Sports,Mid,134436,83080,21000.639982318127,2024-12-12
CR0298,Chad Martin,Gaming,Nano,7240,4846,365.40797135490084,2024-10-29
CR0299,Penny Garcia,Food,Micro,22999,12498,8675.134635660175,2025-06-10
CR0300,Justin Jackson,Gaming,Nano,8046,4199,899.2819197896437,2025-10-03
CR0301,Erica Jackson,Beauty,Nano,6553,4215,458.85716583125793,2025-03-23
CR0302,Rachel Lynch,Home,Micro,50966,32968,3812.7121402768103,2024-08-25
CR0303,Vincent Ferguson,Books,Micro,59060,15003,7181.38931920279,2026-02-26
CR0304,Jennifer Wells,Beauty,Micro,18799,10978,8485.946996273691,2025-02-03
CR0305,Leah Martinez,Sports,Mid,326427,75313,39783.55876767516,2024-11-12
CR0306,Travis Miller,Sports,Mega,4404807,772871,645096.5884922801,2025-09-14
CR0307,John Travis,Gaming,Micro,97819,13010,4697.277696299423,2025-11-09
CR0308,Ronald Ramirez,Sports,Nano,1842,2856,640.3690821022093,2025-02-20
CR0309,Antonio Patterson,Books,Mid,154316,183015,18509.552226880245,2025-06-07
CR0310,Tyler Thompson,Sports,Nano,4674,1386,415.10259479907205,2025-01-12
CR0311,Lauren Blake,Gaming,Micro,25058,23256,6166.900038983164,2024-08-10
CR0312,Shawn Lopez,Home,Nano,1430,2690,126.05786295514149,2025-12-25
CR0313,Mrs. Ashley Benjamin,Electronics,Nano,6062,3283,415.9210786632836,2025-04-21
CR0314,Keith Ramos,Gaming,Mega,4648468,800420,653056.875809101,2024-12-24
CR0315,Desiree Underwood DDS,Fashion,Mid,136482,87191,39638.7623647368,2025-12-06
CR0316,Veronica Smith,Gaming,Mid,148107,189062,18605.31520134044,2025-02-20
CR0317,Emily Pham,Home,Micro,69460,27340,2416.6834826057984,2025-01-06
CR0318,Shane Lewis,Electronics,Nano,6314,1195,895.007966066509,2025-04-22
CR0319,Krista Anderson,Home,Nano,3579,907,706.5718395518018,2025-02-27
CR0320,Sharon Hernandez,Books,Nano,8259,3973,537.0955344018967,2024-11-08
CR0321,Paul Zamora,Beauty,Micro,64287,22902,2940.1206880397212,2025-01-19
CR0322,Maria Neal,Books,Mid,280969,162699,14435.590888037223,2026-02-22
CR0323,Douglas Peterson,Gaming,Mid,376265,130850,11816.694504177101,2026-02-20
CR0324,Jamie Salazar,Food,Nano,1897,562,283.9808119183586,2025-02-05
CR0325,Mark Noble,Home,Mega,4218497,787802,811328.7166089981,2026-01-26
CR0326,Tara Clarke,Gaming,Mid,272030,81453,10309.196262772477,2025-07-30
